facilities,rating,location,Price,review,total reviews,have bar,have restaurant,have swimming pool,have gym,have internet
"restaurant, internet",7.1,Uberlandia,9500,"['Very', 'GoodFrom']",2,0,1,0,0,1
"bar, internet",7.7,Hallerson,12750,"['Very', 'GoodFrom']",34,1,0,0,0,1
"restaurant, bar",,Stokol,4000,,,1,1,0,0,0
restaurant,,Wanderland,6175,,,0,1,0,0,0
"bar, swimming pool, gym, internet",6.9,Andeman,20000,"['Very', 'GoodFrom']",12,1,0,1,1,1
"restaurant, bar, swimming pool",8.0,Wanderland,26500,['ExcellentFrom'],1,1,1,1,0,0
bar,7.6,Uberlandia,5000,"['Very', 'GoodFrom']",1,1,0,0,0,0
"restaurant, bar, swimming pool, gym, internet",7.2,Andeman,25000,"['Very', 'GoodFrom']",6,1,1,1,1,1
"restaurant, bar, swimming pool",7.3,Stokol,11000,"['Very', 'GoodFrom']",41,1,1,1,0,0
"restaurant, bar, internet",7.4,Andeman,10000,"['Very', 'GoodFrom']",26,1,1,0,0,1
"restaurant, bar",7.6,Willsmian,5000,"['Very', 'GoodFrom']",3,1,1,0,0,0
"restaurant, bar, internet",,Willsmian,15000,,,1,1,0,0,1
"bar, internet",6.6,Stokol,11000,"['Very', 'GoodFrom']",14,1,0,0,0,1
"restaurant, bar",6.7,Andeman,10000,"['Very', 'GoodFrom']",29,1,1,0,0,0
"restaurant, bar, internet",,Uberlandia,15000,,,1,1,0,0,1
"restaurant, bar",,Andeman,4000,,,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.3,Wanderland,25000,['ExcellentFrom'],6,1,1,1,1,1
swimming pool,8.8,Hallerson,35000,['ExcellentFrom'],1,0,0,1,0,0
"restaurant, bar, swimming pool",8.0,Hallerson,25000,['ExcellentFrom'],9,1,1,1,0,0
"restaurant, bar, swimming pool, gym, internet",8.3,Uberlandia,25000,['ExcellentFrom'],6,1,1,1,1,1
"restaurant, bar, swimming pool, internet",7.2,Wanderland,24500,"['Very', 'GoodFrom']",23,1,1,1,0,1
"restaurant, bar",4.3,Andeman,10000,['GoodFrom'],2,1,1,0,0,0
"restaurant, bar",,Willsmian,7000,,,1,1,0,0,0
"restaurant, bar, swimming pool, internet",10.0,Stokol,25000,['ExcellentFrom'],2,1,1,1,0,1
"restaurant, bar",7.4,Machlessvile,20000,"['Very', 'GoodFrom']",50,1,1,0,0,0
restaurant,,Stokol,10000,,,0,1,0,0,0
"restaurant, bar, swimming pool, internet",8.0,Hallerson,25000,['ExcellentFrom'],25,1,1,1,0,1
"restaurant, bar, swimming pool, gym, internet",7.3,Uberlandia,28000,"['Very', 'GoodFrom']",23,1,1,1,1,1
bar,,Andeman,3500,,,1,0,0,0,0
restaurant,7.2,Andeman,9000,"['Very', 'GoodFrom']",12,0,1,0,0,0
"restaurant, bar, gym, internet",6.5,Hallerson,15000,"['Very', 'GoodFrom']",32,1,1,0,1,1
"restaurant, bar, swimming pool, gym, internet",8.3,Wanderland,25000,['ExcellentFrom'],6,1,1,1,1,1
"restaurant, bar, swimming pool, gym",7.0,Uberlandia,32000,"['Very', 'GoodFrom']",6,1,1,1,1,0
,,Willsmian,3500,,,2,2,2,2,2
"restaurant, bar, swimming pool, internet",10.0,Andeman,25000,['ExcellentFrom'],2,1,1,1,0,1
"restaurant, bar, internet",7.0,Stokol,143802,"['Very', 'GoodFrom']",20,1,1,0,0,1
"swimming pool, gym",,Ubisville,16100,,,0,0,1,1,0
"restaurant, internet",4.9,Machlessvile,19720,['GoodFrom'],30,0,1,0,0,1
"restaurant, bar, swimming pool, gym",5.7,Andeman,30000,['GoodFrom'],37,1,1,1,1,0
restaurant,6.4,Wanderland,9900,"['Very', 'GoodFrom']",1,0,1,0,0,0
"restaurant, bar",8.0,Hallerson,10000,['ExcellentFrom'],7,1,1,0,0,0
restaurant,,Andeman,5000,,,0,1,0,0,0
"restaurant, bar, internet",,Ubisville,15000,,,1,1,0,0,1
,9.0,Uberlandia,2700,['ExcellentFrom'],1,2,2,2,2,2
restaurant,6.4,Stokol,9900,"['Very', 'GoodFrom']",1,0,1,0,0,0
"restaurant, bar, internet",7.9,Andeman,59000,"['Very', 'GoodFrom']",10,1,1,0,0,1
"restaurant, bar, internet",6.7,Stokol,3000,"['Very', 'GoodFrom']",1,1,1,0,0,1
,,Stokol,3795,,,2,2,2,2,2
internet,5.4,Hallerson,4000,['GoodFrom'],13,0,0,0,0,1
"restaurant, gym",,Uberlandia,36000,,,0,1,0,1,0
"restaurant, bar, internet",7.2,Wanderland,56000,"['Very', 'GoodFrom']",2,1,1,0,0,1
"restaurant, bar, internet",6.9,Stokol,6000,"['Very', 'GoodFrom']",12,1,1,0,0,1
"restaurant, bar, swimming pool, gym",7.2,Wanderland,19000,"['Very', 'GoodFrom']",38,1,1,1,1,0
,,Andeman,1800,,,2,2,2,2,2
"restaurant, bar, internet",6.6,Stokol,13000,"['Very', 'GoodFrom']",16,1,1,0,0,1
"restaurant, bar, swimming pool, internet",7.8,Hallerson,25000,"['Very', 'GoodFrom']",5,1,1,1,0,1
"restaurant, bar, swimming pool, internet",7.9,Hallerson,50000,"['Very', 'GoodFrom']",24,1,1,1,0,1
"restaurant, bar",7.1,Uberlandia,11000,"['Very', 'GoodFrom']",10,1,1,0,0,0
"restaurant, bar",7.4,Uberlandia,15000,"['Very', 'GoodFrom']",5,1,1,0,0,0
"restaurant, bar",7.2,Wanderland,15650,"['Very', 'GoodFrom']",9,1,1,0,0,0
"restaurant, bar, swimming pool, internet",9.8,Uberlandia,64800,['ExcellentFrom'],4,1,1,1,0,1
"restaurant, bar",6.3,Machlessvile,11500,"['Very', 'GoodFrom']",34,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.5,Stokol,30000,['ExcellentFrom'],11,1,1,1,1,1
"restaurant, swimming pool, internet",6.5,Stokol,16000,"['Very', 'GoodFrom']",8,0,1,1,0,1
"restaurant, bar, swimming pool, gym",8.8,Hallerson,20000,['ExcellentFrom'],2,1,1,1,1,0
"restaurant, bar, internet",8.0,Wanderland,19000,['ExcellentFrom'],36,1,1,0,0,1
internet,7.7,Uberlandia,20000,"['Very', 'GoodFrom']",18,0,0,0,0,1
"restaurant, bar",7.4,Willsmian,15000,"['Very', 'GoodFrom']",5,1,1,0,0,0
"bar, internet",7.4,Stokol,20000,"['Very', 'GoodFrom']",5,1,0,0,0,1
"bar, internet",7.7,Machlessvile,12750,"['Very', 'GoodFrom']",34,1,0,0,0,1
"bar, swimming pool",8.2,Wanderland,30000,['ExcellentFrom'],152,1,0,1,0,0
"restaurant, bar, internet",7.7,Uberlandia,9800,"['Very', 'GoodFrom']",125,1,1,0,0,1
"restaurant, bar",7.7,Stokol,20000,"['Very', 'GoodFrom']",40,1,1,0,0,0
"restaurant, bar, internet",4.4,Stokol,6700,['GoodFrom'],1,1,1,0,0,1
,6.2,Uberlandia,3500,"['Very', 'GoodFrom']",2,2,2,2,2,2
"restaurant, bar",6.2,Stokol,3500,"['Very', 'GoodFrom']",13,1,1,0,0,0
"restaurant, bar, swimming pool, internet",7.5,Stokol,67000,"['Very', 'GoodFrom']",35,1,1,1,0,1
"restaurant, bar, internet",8.0,Uberlandia,25000,['ExcellentFrom'],1,1,1,0,0,1
"restaurant, bar, internet",7.7,Andeman,15000,"['Very', 'GoodFrom']",11,1,1,0,0,1
"restaurant, bar",3.9,Stokol,7000,['FairFrom'],3,1,1,0,0,0
"restaurant, bar, swimming pool",,Andeman,12000,,,1,1,1,0,0
"restaurant, bar, swimming pool",6.7,Stokol,14000,"['Very', 'GoodFrom']",10,1,1,1,0,0
"restaurant, bar",9.6,Willsmian,9200,['ExcellentFrom'],3,1,1,0,0,0
restaurant,6.4,Uberlandia,9900,"['Very', 'GoodFrom']",1,0,1,0,0,0
"bar, swimming pool",6.4,Uberlandia,20000,"['Very', 'GoodFrom']",49,1,0,1,0,0
"restaurant, bar",9.4,Hallerson,20000,['ExcellentFrom'],3,1,1,0,0,0
"restaurant, bar",,Stokol,12000,,,1,1,0,0,0
bar,7.9,Stokol,25000,"['Very', 'GoodFrom']",12,1,0,0,0,0
"restaurant, internet",8.0,Stokol,44000,['ExcellentFrom'],7,0,1,0,0,1
"restaurant, bar, swimming pool, internet",7.2,Stokol,24500,"['Very', 'GoodFrom']",23,1,1,1,0,1
swimming pool,8.8,Stokol,35000,['ExcellentFrom'],1,0,0,1,0,0
internet,8.4,Stokol,10000,['ExcellentFrom'],3,0,0,0,0,1
"restaurant, bar",7.3,Stokol,13000,"['Very', 'GoodFrom']",9,1,1,0,0,0
"restaurant, bar, swimming pool",8.0,Uberlandia,12000,['ExcellentFrom'],6,1,1,1,0,0
"restaurant, bar, swimming pool, gym, internet",,Uberlandia,6500,,,1,1,1,1,1
"restaurant, bar, internet",6.8,Wanderland,17500,"['Very', 'GoodFrom']",94,1,1,0,0,1
"restaurant, bar, swimming pool, internet",5.8,Andeman,25000,['GoodFrom'],6,1,1,1,0,1
"restaurant, bar, swimming pool, gym, internet",8.4,Andeman,43000,['ExcellentFrom'],226,1,1,1,1,1
"restaurant, bar",8.5,Uberlandia,3500,['ExcellentFrom'],5,1,1,0,0,0
"restaurant, bar",8.8,Hallerson,8000,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, bar, internet",7.8,Stokol,9000,"['Very', 'GoodFrom']",12,1,1,0,0,1
"restaurant, swimming pool, gym, internet",9.1,Wanderland,25000,['ExcellentFrom'],3,0,1,1,1,1
"restaurant, bar, swimming pool, internet",7.8,Uberlandia,49500,"['Very', 'GoodFrom']",28,1,1,1,0,1
,,Andeman,3500,,,2,2,2,2,2
"restaurant, bar, swimming pool, gym",3.7,Willsmian,45000,['FairFrom'],2,1,1,1,1,0
"restaurant, bar, internet",7.9,Andeman,12000,"['Very', 'GoodFrom']",11,1,1,0,0,1
"bar, swimming pool",8.2,Stokol,30000,['ExcellentFrom'],152,1,0,1,0,0
"restaurant, bar, internet",8.1,Andeman,14000,['ExcellentFrom'],31,1,1,0,0,1
"restaurant, bar, swimming pool, gym, internet",7.3,Willsmian,28000,"['Very', 'GoodFrom']",23,1,1,1,1,1
"bar, internet",7.4,Andeman,13000,"['Very', 'GoodFrom']",40,1,0,0,0,1
"restaurant, swimming pool",,Andeman,80500,,,0,1,1,0,0
"restaurant, bar",7.2,Stokol,15650,"['Very', 'GoodFrom']",9,1,1,0,0,0
"restaurant, bar, internet",,Willsmian,15000,,,1,1,0,0,1
"restaurant, bar, swimming pool, internet",9.8,Uberlandia,64800,['ExcellentFrom'],4,1,1,1,0,1
"restaurant, swimming pool, internet",7.3,Wanderland,20000,"['Very', 'GoodFrom']",25,0,1,1,0,1
"restaurant, bar",8.5,Willsmian,3500,['ExcellentFrom'],5,1,1,0,0,0
restaurant,6.0,Uberlandia,5500,"['Very', 'GoodFrom']",79,0,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",6.8,Wanderland,9750,"['Very', 'GoodFrom']",14,1,1,1,1,1
"restaurant, bar, swimming pool, internet",7.4,Stokol,17000,"['Very', 'GoodFrom']",145,1,1,1,0,1
"restaurant, bar",7.4,Wanderland,20000,"['Very', 'GoodFrom']",50,1,1,0,0,0
bar,,Wanderland,4500,,,1,0,0,0,0
"restaurant, bar, internet",,Uberlandia,5500,,,1,1,0,0,1
"restaurant, bar",6.4,Wanderland,10000,"['Very', 'GoodFrom']",3,1,1,0,0,0
,,Stokol,3500,,,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",7.6,Uberlandia,20000,"['Very', 'GoodFrom']",13,1,1,1,1,1
"restaurant, bar, swimming pool, internet",8.0,Wanderland,6000,['ExcellentFrom'],7,1,1,1,0,1
"restaurant, bar, swimming pool, gym",7.6,Uberlandia,16500,"['Very', 'GoodFrom']",1,1,1,1,1,0
"restaurant, bar, swimming pool, gym, internet",7.6,Willsmian,30000,"['Very', 'GoodFrom']",6,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",6.9,Hallerson,17000,"['Very', 'GoodFrom']",23,1,1,1,1,1
"restaurant, bar, internet",10.0,Hallerson,20000,['ExcellentFrom'],1,1,1,0,0,1
"restaurant, bar",9.2,Stokol,13350,['ExcellentFrom'],2,1,1,0,0,0
"restaurant, internet",7.1,Andeman,20000,"['Very', 'GoodFrom']",13,0,1,0,0,1
"restaurant, bar, internet",7.1,Willsmian,7500,"['Very', 'GoodFrom']",4,1,1,0,0,1
"restaurant, swimming pool, internet",6.5,Willsmian,16000,"['Very', 'GoodFrom']",8,0,1,1,0,1
"bar, internet",7.7,Uberlandia,12750,"['Very', 'GoodFrom']",34,1,0,0,0,1
restaurant,,Hallerson,7000,,,0,1,0,0,0
bar,7.4,Stokol,11500,"['Very', 'GoodFrom']",43,1,0,0,0,0
"restaurant, bar, internet",8.0,Ubisville,40000,['ExcellentFrom'],8,1,1,0,0,1
"restaurant, swimming pool",,Hallerson,80500,,,0,1,1,0,0
"restaurant, bar, swimming pool",8.0,Willsmian,12000,['ExcellentFrom'],6,1,1,1,0,0
"bar, internet",6.7,Machlessvile,12000,"['Very', 'GoodFrom']",27,1,0,0,0,1
"restaurant, bar",6.2,Stokol,8000,"['Very', 'GoodFrom']",7,1,1,0,0,0
"bar, swimming pool",6.4,Andeman,20000,"['Very', 'GoodFrom']",49,1,0,1,0,0
"bar, swimming pool, gym, internet",6.4,Ubisville,14000,"['Very', 'GoodFrom']",40,1,0,1,1,1
"restaurant, bar",8.3,Andeman,15000,['ExcellentFrom'],11,1,1,0,0,0
"restaurant, bar, internet",9.4,Stokol,12000,['ExcellentFrom'],2,1,1,0,0,1
,,Stokol,4200,,,2,2,2,2,2
"restaurant, bar, swimming pool",7.6,Stokol,18000,"['Very', 'GoodFrom']",2,1,1,1,0,0
swimming pool,,Wanderland,20000,,,0,0,1,0,0
"restaurant, bar, swimming pool, gym",7.8,Willsmian,30000,"['Very', 'GoodFrom']",351,1,1,1,1,0
,,Willsmian,1800,,,2,2,2,2,2
"restaurant, internet",8.0,Wanderland,18000,['ExcellentFrom'],2,0,1,0,0,1
"restaurant, internet",7.1,Andeman,20000,"['Very', 'GoodFrom']",13,0,1,0,0,1
internet,7.7,Machlessvile,5000,"['Very', 'GoodFrom']",10,0,0,0,0,1
"restaurant, bar",,Andeman,8000,,,1,1,0,0,0
"restaurant, bar, swimming pool, internet",7.8,Hallerson,49500,"['Very', 'GoodFrom']",28,1,1,1,0,1
"restaurant, swimming pool, gym",9.3,Wanderland,35000,['ExcellentFrom'],4,0,1,1,1,0
"restaurant, bar",8.5,Hallerson,10000,['ExcellentFrom'],4,1,1,0,0,0
,,Willsmian,3900,,,2,2,2,2,2
,,Machlessvile,4025,,,2,2,2,2,2
,,Machlessvile,1500,,,2,2,2,2,2
"restaurant, bar, gym, internet",9.4,Wanderland,12000,['ExcellentFrom'],5,1,1,0,1,1
"restaurant, bar",7.2,Stokol,3000,"['Very', 'GoodFrom']",2,1,1,0,0,0
"restaurant, bar",9.6,Machlessvile,12800,['ExcellentFrom'],2,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.5,Willsmian,49900,['ExcellentFrom'],4,1,1,1,1,1
bar,7.9,Stokol,15000,"['Very', 'GoodFrom']",3,1,0,0,0,0
"restaurant, bar, internet",7.0,Uberlandia,143802,"['Very', 'GoodFrom']",20,1,1,0,0,1
"restaurant, bar, swimming pool, internet",7.4,Wanderland,17000,"['Very', 'GoodFrom']",145,1,1,1,0,1
"bar, swimming pool, gym, internet",6.4,Machlessvile,14000,"['Very', 'GoodFrom']",40,1,0,1,1,1
"restaurant, bar, swimming pool, gym, internet",7.0,Willsmian,20000,"['Very', 'GoodFrom']",2,1,1,1,1,1
"restaurant, bar, internet",7.2,Stokol,56000,"['Very', 'GoodFrom']",2,1,1,0,0,1
"restaurant, bar, swimming pool, internet",From,Andeman,15000,,1,1,1,1,0,1
"restaurant, bar",6.3,Uberlandia,11500,"['Very', 'GoodFrom']",34,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.8,Willsmian,37250,['ExcellentFrom'],2,1,1,1,1,1
,,Willsmian,7500,,,2,2,2,2,2
"restaurant, bar",6.4,Wanderland,6000,"['Very', 'GoodFrom']",5,1,1,0,0,0
"restaurant, bar, internet",7.7,Machlessvile,15000,"['Very', 'GoodFrom']",11,1,1,0,0,1
"restaurant, swimming pool, internet",,Wanderland,20350,,,0,1,1,0,1
"restaurant, internet",4.9,Wanderland,19720,['GoodFrom'],30,0,1,0,0,1
"restaurant, bar, internet",8.6,Machlessvile,9000,['ExcellentFrom'],2,1,1,0,0,1
restaurant,7.1,Stokol,20000,"['Very', 'GoodFrom']",12,0,1,0,0,0
,,Stokol,2200,,,2,2,2,2,2
"restaurant, bar",4.0,Uberlandia,2500,['GoodFrom'],8,1,1,0,0,0
"bar, swimming pool",8.2,Uberlandia,30000,['ExcellentFrom'],152,1,0,1,0,0
"restaurant, bar",5.6,Hallerson,4000,['GoodFrom'],2,1,1,0,0,0
"restaurant, bar, swimming pool, gym",6.3,Andeman,7000,"['Very', 'GoodFrom']",8,1,1,1,1,0
"restaurant, swimming pool, internet",9.1,Hallerson,37200,['ExcellentFrom'],12,0,1,1,0,1
"restaurant, bar, internet",7.1,Stokol,9000,"['Very', 'GoodFrom']",9,1,1,0,0,1
"restaurant, bar, swimming pool",4.9,Andeman,12850,['GoodFrom'],6,1,1,1,0,0
"restaurant, bar, gym, internet",10.0,Wanderland,13000,['ExcellentFrom'],1,1,1,0,1,1
"bar, internet",7.7,Andeman,12750,"['Very', 'GoodFrom']",34,1,0,0,0,1
,,Hallerson,2000,,,2,2,2,2,2
bar,7.6,Andeman,5000,"['Very', 'GoodFrom']",1,1,0,0,0,0
"restaurant, swimming pool",,Machlessvile,80500,,,0,1,1,0,0
internet,8.9,Andeman,18000,['ExcellentFrom'],11,0,0,0,0,1
"restaurant, bar, swimming pool, internet",5.8,Wanderland,25000,['GoodFrom'],6,1,1,1,0,1
"restaurant, bar",3.9,Uberlandia,7000,['FairFrom'],3,1,1,0,0,0
"restaurant, bar, swimming pool, gym",7.0,Wanderland,32000,"['Very', 'GoodFrom']",6,1,1,1,1,0
"restaurant, internet",,Machlessvile,14904,,,0,1,0,0,1
"restaurant, bar",8.4,Wanderland,15000,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, bar",7.2,Willsmian,3000,"['Very', 'GoodFrom']",2,1,1,0,0,0
bar,2.8,Andeman,5000,['FairFrom'],1,1,0,0,0,0
bar,8.7,Hallerson,27000,['ExcellentFrom'],22,1,0,0,0,0
"restaurant, bar",,Willsmian,4000,,,1,1,0,0,0
"bar, swimming pool, internet",7.3,Wanderland,12000,"['Very', 'GoodFrom']",61,1,0,1,0,1
"restaurant, bar",8.0,Willsmian,10000,['ExcellentFrom'],7,1,1,0,0,0
,6.3,Hallerson,35000,"['Very', 'GoodFrom']",46,2,2,2,2,2
"restaurant, bar, swimming pool, gym",7.0,Uberlandia,32000,"['Very', 'GoodFrom']",6,1,1,1,1,0
"restaurant, bar, gym, internet",7.2,Andeman,30000,"['Very', 'GoodFrom']",44,1,1,0,1,1
"restaurant, bar",,Stokol,8000,,,1,1,0,0,0
"restaurant, bar",7.1,Stokol,9000,"['Very', 'GoodFrom']",3,1,1,0,0,0
"restaurant, swimming pool",6.4,Wanderland,18000,"['Very', 'GoodFrom']",4,0,1,1,0,0
,,Uberlandia,17250,,,2,2,2,2,2
bar,2.8,Stokol,5000,['FairFrom'],1,1,0,0,0,0
"restaurant, swimming pool, internet",6.4,Stokol,6000,"['Very', 'GoodFrom']",2,0,1,1,0,1
restaurant,8.4,Uberlandia,15000,['ExcellentFrom'],4,0,1,0,0,0
internet,7.7,Hallerson,20000,"['Very', 'GoodFrom']",18,0,0,0,0,1
"restaurant, bar, swimming pool, gym, internet",6.9,Andeman,17000,"['Very', 'GoodFrom']",23,1,1,1,1,1
"restaurant, bar, internet",7.2,Andeman,9200,"['Very', 'GoodFrom']",39,1,1,0,0,1
,,Wanderland,4000,,,2,2,2,2,2
"restaurant, swimming pool, internet",5.0,Andeman,15000,['GoodFrom'],2,0,1,1,0,1
"restaurant, bar",2.0,Willsmian,4500,['FairFrom'],1,1,1,0,0,0
"restaurant, bar",7.8,Hallerson,11000,"['Very', 'GoodFrom']",2,1,1,0,0,0
,,Hallerson,7500,,,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",5.1,Hallerson,88800,['GoodFrom'],13,1,1,1,1,1
"restaurant, bar, internet",6.2,Andeman,7500,"['Very', 'GoodFrom']",7,1,1,0,0,1
"restaurant, bar, internet",6.9,Stokol,13975,"['Very', 'GoodFrom']",33,1,1,0,0,1
"restaurant, bar",7.8,Uberlandia,7560,"['Very', 'GoodFrom']",10,1,1,0,0,0
"bar, swimming pool, internet",8.8,Hallerson,25000,['ExcellentFrom'],36,1,0,1,0,1
restaurant,,Stokol,5000,,,0,1,0,0,0
"bar, swimming pool, gym",6.9,Stokol,21000,"['Very', 'GoodFrom']",13,1,0,1,1,0
"restaurant, bar",8.0,Stokol,9000,['ExcellentFrom'],3,1,1,0,0,0
"restaurant, bar, gym, internet",7.4,Uberlandia,40000,"['Very', 'GoodFrom']",28,1,1,0,1,1
"restaurant, bar",,Machlessvile,2000,,,1,1,0,0,0
"restaurant, bar, internet",6.3,Wanderland,15000,"['Very', 'GoodFrom']",12,1,1,0,0,1
"restaurant, swimming pool",8.8,Stokol,8000,['ExcellentFrom'],1,0,1,1,0,0
"bar, internet",6.7,Wanderland,12000,"['Very', 'GoodFrom']",27,1,0,0,0,1
"restaurant, bar, swimming pool, gym, internet",8.9,Uberlandia,35000,['ExcellentFrom'],19,1,1,1,1,1
"restaurant, swimming pool, gym",6.2,Wanderland,17999,"['Very', 'GoodFrom']",30,0,1,1,1,0
"restaurant, bar, swimming pool, internet",5.8,Hallerson,25000,['GoodFrom'],6,1,1,1,0,1
restaurant,,Machlessvile,4175,,,0,1,0,0,0
"restaurant, bar, swimming pool, internet",7.7,Hallerson,18000,"['Very', 'GoodFrom']",14,1,1,1,0,1
"restaurant, bar",6.0,Uberlandia,8500,"['Very', 'GoodFrom']",8,1,1,0,0,0
"restaurant, bar, swimming pool, gym",8.5,Stokol,12000,['ExcellentFrom'],6,1,1,1,1,0
"restaurant, bar, swimming pool, gym, internet",6.8,Stokol,9750,"['Very', 'GoodFrom']",14,1,1,1,1,1
"restaurant, bar, swimming pool, internet",2.4,Hallerson,8000,['FairFrom'],4,1,1,1,0,1
"restaurant, bar, swimming pool, gym, internet",6.7,Stokol,40191,"['Very', 'GoodFrom']",10,1,1,1,1,1
restaurant,8.2,Andeman,4000,['ExcellentFrom'],7,0,1,0,0,0
"bar, swimming pool, internet",7.3,Uberlandia,12000,"['Very', 'GoodFrom']",61,1,0,1,0,1
"restaurant, bar",6.7,Hallerson,18000,"['Very', 'GoodFrom']",50,1,1,0,0,0
,,Willsmian,4000,,,2,2,2,2,2
"restaurant, internet",,Willsmian,50000,,,0,1,0,0,1
"restaurant, bar, internet",,Stokol,7000,,,1,1,0,0,1
,,Uberlandia,4000,,,2,2,2,2,2
,6.3,Wanderland,35000,"['Very', 'GoodFrom']",46,2,2,2,2,2
"restaurant, bar, gym",7.0,Willsmian,60500,"['Very', 'GoodFrom']",18,1,1,0,1,0
"restaurant, bar, swimming pool, internet",7.5,Wanderland,67000,"['Very', 'GoodFrom']",35,1,1,1,0,1
"restaurant, swimming pool, gym",9.3,Stokol,35000,['ExcellentFrom'],4,0,1,1,1,0
"restaurant, bar",7.2,Andeman,15650,"['Very', 'GoodFrom']",9,1,1,0,0,0
swimming pool,8.8,Uberlandia,35000,['ExcellentFrom'],1,0,0,1,0,0
"restaurant, bar, swimming pool",5.2,Stokol,40326,['GoodFrom'],28,1,1,1,0,0
"bar, swimming pool, internet",7.3,Andeman,12000,"['Very', 'GoodFrom']",61,1,0,1,0,1
"restaurant, bar",7.0,Hallerson,12000,"['Very', 'GoodFrom']",24,1,1,0,0,0
"restaurant, swimming pool, internet",7.5,Machlessvile,20000,"['Very', 'GoodFrom']",154,0,1,1,0,1
"restaurant, bar",,Stokol,3300,,,1,1,0,0,0
"restaurant, internet",8.0,Hallerson,44000,['ExcellentFrom'],7,0,1,0,0,1
,,Hallerson,12500,,,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",8.8,Wanderland,66500,['ExcellentFrom'],8,1,1,1,1,1
"restaurant, bar, internet",,Hallerson,20000,,,1,1,0,0,1
,,Machlessvile,4500,,,2,2,2,2,2
"restaurant, bar",7.8,Machlessvile,10000,"['Very', 'GoodFrom']",4,1,1,0,0,0
"restaurant, bar",6.0,Hallerson,8500,"['Very', 'GoodFrom']",8,1,1,0,0,0
"restaurant, internet",7.1,Machlessvile,9500,"['Very', 'GoodFrom']",2,0,1,0,0,1
"restaurant, bar, swimming pool, gym",7.2,Andeman,19000,"['Very', 'GoodFrom']",38,1,1,1,1,0
,,Stokol,17250,,,2,2,2,2,2
"bar, swimming pool, internet",7.3,Hallerson,12000,"['Very', 'GoodFrom']",61,1,0,1,0,1
"bar, swimming pool",7.8,Stokol,19000,"['Very', 'GoodFrom']",26,1,0,1,0,0
"swimming pool, gym, internet",,Uberlandia,64600,,,0,0,1,1,1
"bar, internet",6.7,Hallerson,12000,"['Very', 'GoodFrom']",27,1,0,0,0,1
"restaurant, bar, internet",8.5,Wanderland,28500,['ExcellentFrom'],3,1,1,0,0,1
"restaurant, bar, swimming pool, gym",8.5,Willsmian,12000,['ExcellentFrom'],6,1,1,1,1,0
,,Wanderland,3500,,,2,2,2,2,2
"restaurant, bar, internet",,Andeman,6000,,,1,1,0,0,1
"restaurant, bar, swimming pool, gym, internet",8.5,Wanderland,49900,['ExcellentFrom'],4,1,1,1,1,1
,,Uberlandia,2000,,,2,2,2,2,2
"restaurant, bar, internet",8.2,Machlessvile,20000,['ExcellentFrom'],20,1,1,0,0,1
"restaurant, bar, swimming pool, gym, internet",7.3,Stokol,38500,"['Very', 'GoodFrom']",8,1,1,1,1,1
"restaurant, bar, swimming pool, internet",8.0,Andeman,25000,['ExcellentFrom'],25,1,1,1,0,1
"restaurant, bar",5.6,Andeman,5400,['GoodFrom'],1,1,1,0,0,0
"restaurant, bar",6.8,Stokol,23000,"['Very', 'GoodFrom']",3,1,1,0,0,0
"restaurant, bar",6.4,Stokol,4000,"['Very', 'GoodFrom']",3,1,1,0,0,0
"restaurant, bar",6.6,Stokol,6000,"['Very', 'GoodFrom']",26,1,1,0,0,0
,7.6,Uberlandia,11000,"['Very', 'GoodFrom']",1,2,2,2,2,2
"restaurant, bar, internet",,Uberlandia,15000,,,1,1,0,0,1
"restaurant, bar",8.3,Hallerson,8000,['ExcellentFrom'],5,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",5.0,Andeman,35000,['GoodFrom'],10,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",8.3,Uberlandia,27000,['ExcellentFrom'],11,1,1,1,1,1
internet,8.1,Stokol,21500,['ExcellentFrom'],57,0,0,0,0,1
"restaurant, bar, gym, internet",8.4,Ubisville,25800,['ExcellentFrom'],10,1,1,0,1,1
"bar, internet",6.7,Uberlandia,35000,"['Very', 'GoodFrom']",10,1,0,0,0,1
"restaurant, bar, gym, internet",8.4,Uberlandia,25800,['ExcellentFrom'],10,1,1,0,1,1
"restaurant, swimming pool",8.0,Uberlandia,23000,['ExcellentFrom'],34,0,1,1,0,0
restaurant,6.5,Andeman,5200,"['Very', 'GoodFrom']",2,0,1,0,0,0
,,Uberlandia,1800,,,2,2,2,2,2
"restaurant, bar",8.4,Hallerson,10000,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, bar, swimming pool, internet",2.4,Stokol,8000,['FairFrom'],4,1,1,1,0,1
